Name,Short name,URL name,Tags,Home page,Publication scheme,Disclosure log,Notes,Created at,Updated at,Version
Aboriginals Benefit Account Advisory Committee,ABA Advisory Committee,aba_advisory_committee,federal foi_yes directory_gov_au oaic_report_2011_2012 social_services police,http://www.dss.gov.au/our-responsibilities/indigenous-australians/programs-services/jobs-money-business/aboriginals-benefit-account-aba-approved-initiatives/the-aboriginals-benefit-account-advisory-committee,"","","The Aboriginals Benefit Account (ABA) is a Special Account (for the purposes of the Financial Management and Accountability Act 1997) established for the receipt of statutory royalty equivalent monies generated from mining on Aboriginal land in the Northern Territory (NT), and the distribution of these monies.

The ABA is administered by the Department of Families, Housing, Community Services and Indigenous Affairs (FaHCSIA) in accordance with the Aboriginal Land Rights (Northern Territory) Act 1976 (the ALRA).

Under section 64(4) of the ALRA, the Minister for Families, Housing, Community Services and Indigenous Affairs can approve payments to or for the benefit of Aboriginals living in the Northern Territory. The Aboriginals Benefit Account Advisory Committee provides advice to the Minister on these payments",2012-10-15 19:40:44 +1100,2017-08-08 19:22:25 +1000,5
Aboriginal Hostels Limited,AHL,ahl,federal foi_yes directory_gov_au oaic_report_2011_2012 social_services police,http://www.ahl.gov.au,http://www.ahl.gov.au/index.php?option=com_content&view=article&id=321&Itemid=257,http://www.ahl.gov.au/index.php?option=com_content&view=article&id=322&Itemid=256,Aboriginal Hostels Limited provides temporary accommodation (of up to 3 months) for Indigenous Australians to allow them to easily visit government services and family members outside of their home community,2012-10-15 19:40:44 +1100,2017-03-21 04:55:20 +1100,7
Administration of Norfolk Island,"",administration_of_norfolk_island,federal foi_yes oaic_report_2011_2012 administration_of_norfolk_island police,http://www.info.gov.nf/,http://www.norfolkisland.gov.nf/foihome/informationpublicationschemefoi.html,"","",2012-10-15 19:40:44 +1100,2016-08-16 04:55:23 +1000,4
Administrative Appeals Tribunal,AAT,aat,federal foi_yes directory_gov_au oaic_report_2011_2012 attorney_general police,http://www.aat.gov.au,http://www.aat.gov.au/AboutTheAAT/AccessToInformationAndPrivacy/IPS.htm,http://www.aat.gov.au/AboutTheAAT/AccessToInformationAndPrivacy/DisclosureLog.htm,The Administrative Appeals Tribunal (AAT) provides independent review of a wide range of administrative decisions made by the Australian Government and some non-government bodies.,2012-10-15 19:40:45 +1100,2017-02-24 22:17:18 +1100,5
Administrative Review Council,"",administrative_review_council,federal foi_yes directory_gov_au oaic_report_2011_2012 attorney_general police,http://www.arc.ag.gov.au,http://www.arc.ag.gov.au/Aboutus/Documents/ARC%20-%20Information%20Publication%20Scheme%20-%20Agency%20Plan.doc,"",Established under the Administrative Appeals Tribunal Act 1975 as an integral part of the administrative review system at the Commonwealth level of government. Advises the attorney_general on the scope and operation of the administrative review system. The Council's advice is on issues ranging from the procedures for the exercise of administrative discretions to all aspects of external review of administrative action.,2012-10-15 19:40:45 +1100,2016-08-16 04:55:23 +1000,4
Admiralty Rules Committee,"",admiralty_rules_committee,federal foi_yes oaic_report_2011_2012 attorney_general police,http://www.ag.gov.au,"","","The Admiralty Rules Committee is part of the attorney_general portfolio, and functions in an regulatory, review, inquiry, commission capacity.

The Admiralty Rules Committee advises the attorney_general about rules concerning the practice and procedure to be followed in courts exercising jurisdiction under the Act, and matters incidental to such practice and procedure.",2012-10-15 19:40:45 +1100,2016-08-16 04:55:23 +1000,5
Advisory Committee on Biologicals,"",advisory_committee_on_biologicals,health federal,http://www.tga.gov.au/about/committees-acb.htm,http://www.tga.gov.au/about/ips.htm,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,The Advisory Committee on Biologicals provides independent medical and scientific advice to the Minister for Health and the Therapeutic Goods Administration in relation to cell and tissue therapy products.,2012-10-15 19:40:45 +1100,2016-08-16 04:55:23 +1000,5
Advisory Committee on Chemicals Scheduling,"",advisory_committee_on_chemicals_scheduling,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acmcs.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"The Advisory Committee on Chemicals Scheduling is part of the Health portfolio, and functions in an advisory capacity.

The Advisory Committee on Chemicals Scheduling advises and makes recommendations to the Secretary of the Department of Health and Ageing on the level of consumer access required for chemicals.",2012-10-15 19:40:45 +1100,2017-09-08 04:55:25 +1000,4
Advisory Committee on Complementary Medicines,ACCM,accm,health federal,http://www.tga.gov.au/about/committees-accm.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"The Advisory Committee on Complementary Medicines is part of the Health portfolio, and functions in an advisory capacity.

The Advisory Committee on Complementary Medicines advises and makes recommendations to the Therapeutic Goods Administration on the inclusion, variation or retention of a complementary medicine in the Australian Register of Therapeutic Goods.",2012-10-15 19:40:45 +1100,2016-08-16 04:55:23 +1000,5
Advisory Committee on Medical Devices,"",advisory_committee_on_medical_devices,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acmd.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,"The Advisory Committee on Medical Devices provides independent medical and scientific advice to the Minister for Health and Ageing and the Therapeutic Goods Administration on safety, quality and performance of medical devices supplied in Australia including issues relating to premarket conformity assessment and post market monitoring.",2012-10-15 19:40:45 +1100,2016-08-16 04:55:23 +1000,5
Advisory Committee on Medicines Scheduling,"",advisory_committee_on_medicines_scheduling,health oaic_report_2011_2012 foi_yes federal,http://www.tga.gov.au/about/committees-acmcs.htm,http://www.tga.gov.au/about/ips.htm#log,http://www.health.gov.au/internet/main/publishing.nsf/Content/foi-disc-log,The Advisory Committee on Medicines Scheduling advises and makes recommendations to the Secretary of the Department of Health and Ageing on the level of consumer access required for medicines.,2012-10-15 19:40:45 +1100,2017-09-08 04:55:25 +1000,4
